Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
firstTestSuite,Firefox 57.0,,2018-02-07 20:38:20,2018-02-07 20:38:40,"19,490s",PASSED
,,,,,,
Test Cases/firstTestcase,Firefox 57.0,,2018-02-07 20:38:21,2018-02-07 20:38:31,"10,289s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:38:21,2018-02-07 20:38:26,"5,231s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:38:26,2018-02-07 20:38:27,"0,948s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:27,2018-02-07 20:38:28,"0,351s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:28,2018-02-07 20:38:28,"0,103s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:28,2018-02-07 20:38:28,"0,098s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:38:28,2018-02-07 20:38:28,"0,052s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:38:28,2018-02-07 20:38:29,"0,878s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:29,2018-02-07 20:38:29,"0,235s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:29,2018-02-07 20:38:29,"0,227s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:29,2018-02-07 20:38:29,"0,253s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:29,2018-02-07 20:38:30,"0,234s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:30,2018-02-07 20:38:30,"0,240s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:30,2018-02-07 20:38:30,"0,231s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:30,2018-02-07 20:38:30,"0,126s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:30,2018-02-07 20:38:31,"0,245s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:38:31,2018-02-07 20:38:31,"0,022s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:31,2018-02-07 20:38:31,"0,245s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:38:31,2018-02-07 20:38:31,"0,252s",PASSED
,,,,,,
Test Cases/firstTestcase - Copy,Firefox 57.0,,2018-02-07 20:38:31,2018-02-07 20:38:40,"8,860s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:38:31,2018-02-07 20:38:35,"4,197s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:38:35,2018-02-07 20:38:36,"0,892s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:36,2018-02-07 20:38:37,"0,311s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:37,2018-02-07 20:38:37,"0,092s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:37,2018-02-07 20:38:37,"0,073s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:38:37,2018-02-07 20:38:37,"0,036s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:38:37,2018-02-07 20:38:38,"0,859s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:38,2018-02-07 20:38:38,"0,227s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:38,2018-02-07 20:38:38,"0,224s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:38,2018-02-07 20:38:38,"0,262s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:38,2018-02-07 20:38:39,"0,236s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:39,"0,233s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:39,"0,229s",PASSED
setText,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:39,"0,105s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:39,"0,248s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:39,"0,009s",PASSED
click,Firefox 57.0,,2018-02-07 20:38:39,2018-02-07 20:38:40,"0,249s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:38:40,2018-02-07 20:38:40,"0,241s",PASSED
