Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
firstTestSuite,Firefox 57.0,,2018-02-07 20:36:49,2018-02-07 20:37:00,"10,817s",PASSED
,,,,,,
Test Cases/firstTestcase,Firefox 57.0,,2018-02-07 20:36:50,2018-02-07 20:37:00,"10,439s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:36:50,2018-02-07 20:36:55,"5,311s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:36:55,2018-02-07 20:36:56,"1,048s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:56,2018-02-07 20:36:57,"0,316s",PASSED
setText,Firefox 57.0,,2018-02-07 20:36:57,2018-02-07 20:36:57,"0,102s",PASSED
setText,Firefox 57.0,,2018-02-07 20:36:57,2018-02-07 20:36:57,"0,097s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:36:57,2018-02-07 20:36:57,"0,055s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:36:57,2018-02-07 20:36:58,"0,879s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:58,2018-02-07 20:36:58,"0,238s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:58,2018-02-07 20:36:58,"0,227s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:58,2018-02-07 20:36:59,"0,270s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:59,2018-02-07 20:36:59,"0,233s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:59,2018-02-07 20:36:59,"0,239s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:59,2018-02-07 20:36:59,"0,230s",PASSED
setText,Firefox 57.0,,2018-02-07 20:36:59,2018-02-07 20:36:59,"0,129s",PASSED
click,Firefox 57.0,,2018-02-07 20:36:59,2018-02-07 20:37:00,"0,231s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:37:00,2018-02-07 20:37:00,"0,017s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:00,2018-02-07 20:37:00,"0,243s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:37:00,2018-02-07 20:37:00,"0,223s",PASSED
