Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
firstTestSuite,Firefox 57.0,,2018-02-07 20:37:38,2018-02-07 20:37:49,"10,640s",PASSED
,,,,,,
Test Cases/firstTestcase,Firefox 57.0,,2018-02-07 20:37:38,2018-02-07 20:37:49,"10,278s",PASSED
openBrowser,Firefox 57.0,,2018-02-07 20:37:39,2018-02-07 20:37:44,"5,188s",PASSED
navigateToUrl,Firefox 57.0,,2018-02-07 20:37:44,2018-02-07 20:37:45,"0,972s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:45,2018-02-07 20:37:45,"0,344s",PASSED
setText,Firefox 57.0,,2018-02-07 20:37:45,2018-02-07 20:37:45,"0,111s",PASSED
setText,Firefox 57.0,,2018-02-07 20:37:45,2018-02-07 20:37:45,"0,111s",PASSED
sendKeys,Firefox 57.0,,2018-02-07 20:37:45,2018-02-07 20:37:45,"0,072s",PASSED
selectOptionByValue,Firefox 57.0,,2018-02-07 20:37:45,2018-02-07 20:37:46,"0,877s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:46,2018-02-07 20:37:46,"0,235s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:46,2018-02-07 20:37:47,"0,232s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:47,2018-02-07 20:37:47,"0,265s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:47,2018-02-07 20:37:47,"0,233s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:47,2018-02-07 20:37:47,"0,241s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:47,2018-02-07 20:37:48,"0,230s",PASSED
setText,Firefox 57.0,,2018-02-07 20:37:48,2018-02-07 20:37:48,"0,121s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:48,2018-02-07 20:37:48,"0,226s",PASSED
verifyElementPresent,Firefox 57.0,,2018-02-07 20:37:48,2018-02-07 20:37:48,"0,022s",PASSED
click,Firefox 57.0,,2018-02-07 20:37:48,2018-02-07 20:37:48,"0,244s",PASSED
closeBrowser,Firefox 57.0,,2018-02-07 20:37:48,2018-02-07 20:37:49,"0,246s",PASSED
